created_at,screen_name,text,lang,retweet_count,reply_count,like_count,quote_count,id,author_id,conversation_id,in_reply_to_user_id,geo
2022-04-26T03:00:41.000Z,bts_bighit,"[공지] #BTS 2021 MUSTER SOWOOZOO DVD 출시 안내 (+JPN)
https://t.co/4j8K66efPZ",ko,13070,521,44038,770,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-26T03:00:28.000Z,bts_bighit,"[공지] #BTS 2021 MUSTER SOWOOZOO Blu-ray 출시 안내 (+JPN)
https://t.co/m0vllq6CBe",ko,10765,251,36999,299,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-26T03:00:13.000Z,bts_bighit,"[공지] #BTS 2021 MUSTER SOWOOZOO DIGITAL CODE 출시 안내 (+JPN)
https://t.co/TttljmeceA",ko,13560,594,44776,725,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-25T15:00:14.000Z,bts_bighit,"#BTS (#방탄소년단) ‘BTS 2021 MUSTER SOWOOZOO’ PREVIEW SPOT
(https://t.co/Rp9sZtpAmi)",en,104812,8568,316151,21441,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-24T14:16:49.000Z,bts_bighit,"With you Release
#Jimin #지민 #Withyou
▶멜론: https://t.co/BE9N4FixVj
▶지니: https://t.co/FEgXReLMM0
▶YouTube Music: https://t.co/EG5Uwr7dVz
▶Spotify: https://t.co/0Vu76EoEqs
▶Apple Music: https://t.co/9nO24jIyj2",en,224049,13244,487954,16493,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-22T12:10:59.000Z,bts_bighit,"RT @INTHESEOM_BTS: BTS와 함께한 인더섬 with BTS 제작 과정!  
BTS Island: In the SEOM production process will be released.
BTSと共にした「BTS Island: In the…",ja,54522,0,0,0,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-21T22:00:02.000Z,bts_bighit,"Proud to be one of the new artists in the Artist Spotlight series on Apple Fitness+! Get excited for workouts featuring #BTS playlists, available now and dropping every Monday until May 9.

🔗 https://t.co/pJV7Osm3I7

#PermissiontoDance #CloseYourRings #DanceWithFitnessPlus https://t.co/FTylhrF2Dk",en,83651,2662,346653,2277,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-20T09:00:42.000Z,bts_bighit,"[#BANGTANZIP] 방탄소년단이 쉬는 시간을 보내는 방법 (How BTS Spends Their Breaktime)

👀 https://t.co/CKvfE5ijto
🔎 Premiere ONLY on Facebook
🔎 https://t.co/SNgPwsvWVv은 페이스북에서 최초 공개됩니다

#BTS #방탄소년단",ko,60345,1159,269003,702,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-18T04:02:21.000Z,bts_bighit,"RT @morningKall: Hi MALAYSIA, apa khabar? 

Some of you might have heard the rumors.
Yes, you are right. IN THE SOOP POP-UP in PETALING JAY…",en,27462,0,0,0,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-17T07:00:34.000Z,bts_bighit,"[공지] #BTS 신보 발매 안내 (+ENG/JPN/CHN)
https://t.co/Pxb2rZbyCc https://t.co/qkuPPA4cmx",ko,291909,17567,745914,42208,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-17T06:00:01.000Z,bts_bighit,"[WEVERSE IN LAS VEGAS]
영원한 관객 ARMY와 영원한 청춘 BTS가 함께 완주한 또 하나의 대장정💜
Another long journey with a timeless audience- ARMY and youth- BTS who had gone distance together💜
https://t.co/1Acq35QAB7",ko,55864,1527,286362,429,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-17T05:43:48.000Z,bts_bighit,"[#오늘의방탄] 여러분들의 사랑 덕분에 4일간의 소중한 공연을 할 수 있었습니다🥰 진심을 다해 즐겨주셔서 감사합니다! LOVE YOU ALL 아미💜💜💜💜💜💜💜

#BTS #BTSARMY #PTD_ON_STAGE_LV #TheWaitIsOver_BTSinVegas #BTSAllegiantStadium #PTD_ON_STAGE_LasVegas4회차공연 https://t.co/608cmVbK6L",ko,284701,22751,855208,10920,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-16T06:01:27.000Z,bts_bighit,[#오늘의방탄] 방탄소년단은 하루 24시간중에 아미랑 만나는 2시간이 제일 가치있다는 거 아미도 알죠?😘 이 마음이 아미들에게 닿았길 바라며! 마지막 공연까지 재미있게 놀 준비하고😉 내일 만나요 아미!💜 #BTS #BTSARMY #PTD_ON_STAGE_LV #BTSAllegiantStadium #PTD_ON_STAGE_LasVegas3회차공연 https://t.co/5JcwEzuRVK,ko,245684,8262,779431,4911,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-16T06:00:00.000Z,bts_bighit,"[WEVERSE IN LAS VEGAS]
이번 공연은 LIVE PLAY로 더 많은 ARMY들과 함께💜
Let’s enjoy the concert together with LIVE PLAY💜
https://t.co/1Acq35QAB7",ko,30119,329,193701,43,1.52E+18,1409798257,1.52E+18,nan,None
2022-04-15T06:00:01.000Z,bts_bighit,"&lt;BTS PERMISSION TO DANCE THE CITY - LAS VEGAS&gt;

Special thanks to ARMY for coloring ""THE CITY"" with BTS 💜 
Cherish the memory of those days in Las Vegas! 'Cause we don't need permission to flash back✨

#PTD_ON_STAGE_LV #BTS_THE_CITY_LasVegas #PTD_THE_CITY_LV https://t.co/W65HFDjHBV",en,88644,2079,395868,1414,1.51E+18,1409798257,1.51E+18,nan,None
2022-04-15T04:00:01.000Z,bts_bighit,"[WEVERSE IN LAS VEGAS]
AREA15를 ARMY의 방처럼 구석구석 살펴 볼까요? 👀
Curious about AREA15 and BTS POP-UP? Follow Weverse💜
https://t.co/1Acq35QAB7",ko,34111,515,208507,92,1.51E+18,1409798257,1.51E+18,nan,None
